# COMMENT
# # cutUV cutIR samples
# 100.000000 0.000100 500# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 0.250000 0.030000 1.000000 4.000000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 3.067951 1.474064 2.319300 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 320 8.000000
# Spectral function (PDE)
# p rho
0.000000 0.000067
0.025000 0.000203
0.050000 0.000339
0.075000 0.000476
0.100000 0.000614
0.125000 0.000754
0.150000 0.000896
0.175000 0.001041
0.200000 0.001189
0.225000 0.001341
0.250000 0.001498
0.275000 0.001659
0.300000 0.001827
0.325000 0.002000
0.350000 0.002181
0.375000 0.002370
0.400000 0.002567
0.425000 0.002775
0.450000 0.002994
0.475000 0.003225
0.500000 0.003469
0.525000 0.003729
0.550000 0.004006
0.575000 0.004301
0.600000 0.004617
0.625000 0.004956
0.650000 0.005321
0.675000 0.005715
0.700000 0.006140
0.725000 0.006601
0.750000 0.007102
0.775000 0.007647
0.800000 0.008243
0.825000 0.008894
0.850000 0.009608
0.875000 0.010394
0.900000 0.011258
0.925000 0.012213
0.950000 0.013269
0.975000 0.014439
1.000000 0.015738
1.025000 0.017181
1.050000 0.018789
1.075000 0.020580
1.100000 0.022579
1.125000 0.024809
1.150000 0.027299
1.175000 0.030077
1.200000 0.033173
1.225000 0.036620
1.250000 0.040447
1.275000 0.044683
1.300000 0.049352
1.325000 0.054470
1.350000 0.060046
1.375000 0.066070
1.400000 0.072518
1.425000 0.079343
1.450000 0.086476
1.475000 0.093822
1.500000 0.101266
1.525000 0.108671
1.550000 0.115894
1.575000 0.122784
1.600000 0.129199
1.625000 0.135013
1.650000 0.140120
1.675000 0.144439
1.700000 0.147915
1.725000 0.150515
1.750000 0.152221
1.775000 0.153031
1.800000 0.152947
1.825000 0.151978
1.850000 0.150133
1.875000 0.147426
1.900000 0.143881
1.925000 0.139531
1.950000 0.134427
1.975000 0.128641
2.000000 0.122268
2.025000 0.115424
2.050000 0.108243
2.075000 0.100868
2.100000 0.093444
2.125000 0.086108
2.150000 0.078978
2.175000 0.072153
2.200000 0.065708
2.225000 0.059691
2.250000 0.054130
2.275000 0.049032
2.300000 0.044392
2.325000 0.040190
2.350000 0.036401
2.375000 0.032996
2.400000 0.029941
2.425000 0.027205
2.450000 0.024755
2.475000 0.022563
2.500000 0.020600
2.525000 0.018841
2.550000 0.017264
2.575000 0.015847
2.600000 0.014573
2.625000 0.013425
2.650000 0.012390
2.675000 0.011455
2.700000 0.010608
2.725000 0.009841
2.750000 0.009143
2.775000 0.008509
2.800000 0.007931
2.825000 0.007404
2.850000 0.006922
2.875000 0.006480
2.900000 0.006075
2.925000 0.005703
2.950000 0.005361
2.975000 0.005045
3.000000 0.004754
3.025000 0.004486
3.050000 0.004237
3.075000 0.004007
3.100000 0.003793
3.125000 0.003595
3.150000 0.003410
3.175000 0.003238
3.200000 0.003077
3.225000 0.002928
3.250000 0.002788
3.275000 0.002656
3.300000 0.002534
3.325000 0.002419
3.350000 0.002310
3.375000 0.002209
3.400000 0.002113
3.425000 0.002023
3.450000 0.001939
3.475000 0.001859
3.500000 0.001783
3.525000 0.001712
3.550000 0.001644
3.575000 0.001581
3.600000 0.001520
3.625000 0.001463
3.650000 0.001409
3.675000 0.001357
3.700000 0.001308
3.725000 0.001262
3.750000 0.001218
3.775000 0.001176
3.800000 0.001136
3.825000 0.001098
3.850000 0.001062
3.875000 0.001028
3.900000 0.000995
3.925000 0.000964
3.950000 0.000934
3.975000 0.000906
4.000000 0.000879
4.025000 0.000853
4.050000 0.000829
4.075000 0.000805
4.100000 0.000783
4.125000 0.000761
