# COMMENT
# # cutUV cutIR samples
# 100.000000 0.000100 500# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 0.250000 0.030000 1.000000 4.000000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 3.023343 1.438689 2.263985 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 320 8.000000
# Spectral function (PDE)
# p rho
0.000000 0.000070
0.025000 0.000224
0.050000 0.000379
0.075000 0.000535
0.100000 0.000691
0.125000 0.000852
0.150000 0.001009
0.175000 0.001178
0.200000 0.001342
0.225000 0.001506
0.250000 0.001680
0.275000 0.001865
0.300000 0.002045
0.325000 0.002235
0.350000 0.002430
0.375000 0.002634
0.400000 0.002852
0.425000 0.003069
0.450000 0.003305
0.475000 0.003557
0.500000 0.003822
0.525000 0.004095
0.550000 0.004385
0.575000 0.004702
0.600000 0.005043
0.625000 0.005400
0.650000 0.005789
0.675000 0.006205
0.700000 0.006645
0.725000 0.007162
0.750000 0.007679
0.775000 0.008232
0.800000 0.008878
0.825000 0.009563
0.850000 0.010311
0.875000 0.011125
0.900000 0.012017
0.925000 0.013015
0.950000 0.014125
0.975000 0.015284
1.000000 0.016600
1.025000 0.018083
1.050000 0.019763
1.075000 0.021541
1.100000 0.023535
1.125000 0.025692
1.150000 0.028195
1.175000 0.030885
1.200000 0.033975
1.225000 0.037414
1.250000 0.041018
1.275000 0.045109
1.300000 0.049678
1.325000 0.054514
1.350000 0.059923
1.375000 0.065517
1.400000 0.071680
1.425000 0.078205
1.450000 0.084851
1.475000 0.091853
1.500000 0.098877
1.525000 0.106019
1.550000 0.112850
1.575000 0.119525
1.600000 0.125892
1.625000 0.131742
1.650000 0.136804
1.675000 0.141285
1.700000 0.144960
1.725000 0.147680
1.750000 0.149659
1.775000 0.150696
1.800000 0.150819
1.825000 0.150051
1.850000 0.148292
1.875000 0.145946
1.900000 0.142493
1.925000 0.138340
1.950000 0.133431
1.975000 0.127757
2.000000 0.121595
2.025000 0.114835
2.050000 0.107981
2.075000 0.100951
2.100000 0.093633
2.125000 0.086556
2.150000 0.079660
2.175000 0.073041
2.200000 0.066730
2.225000 0.060813
2.250000 0.055313
2.275000 0.050267
2.300000 0.045655
2.325000 0.041449
2.350000 0.037691
2.375000 0.034222
2.400000 0.031113
2.425000 0.028375
2.450000 0.025878
2.475000 0.023612
2.500000 0.021632
2.525000 0.019802
2.550000 0.018164
2.575000 0.016717
2.600000 0.015414
2.625000 0.014215
2.650000 0.013143
2.675000 0.012161
2.700000 0.011271
2.725000 0.010485
2.750000 0.009744
2.775000 0.009091
2.800000 0.008490
2.825000 0.007921
2.850000 0.007415
2.875000 0.006946
2.900000 0.006513
2.925000 0.006126
2.950000 0.005787
2.975000 0.005439
3.000000 0.005141
3.025000 0.004853
3.050000 0.004577
3.075000 0.004354
3.100000 0.004123
3.125000 0.003911
3.150000 0.003721
3.175000 0.003541
3.200000 0.003365
3.225000 0.003201
3.250000 0.003052
3.275000 0.002911
3.300000 0.002792
3.325000 0.002664
3.350000 0.002542
3.375000 0.002442
3.400000 0.002332
3.425000 0.002233
3.450000 0.002150
3.475000 0.002055
3.500000 0.001971
3.525000 0.001902
3.550000 0.001823
3.575000 0.001760
3.600000 0.001701
3.625000 0.001629
3.650000 0.001573
3.675000 0.001511
3.700000 0.001467
3.725000 0.001399
3.750000 0.001349
3.775000 0.001306
3.800000 0.001261
3.825000 0.001228
3.850000 0.001180
3.875000 0.001139
3.900000 0.001099
3.925000 0.001069
3.950000 0.001035
3.975000 0.000999
4.000000 0.000969
4.025000 0.000939
4.050000 0.000915
4.075000 0.000888
4.100000 0.000856
4.125000 0.000832
4.150000 0.000814
4.175000 0.000784
4.200000 0.000769
4.225000 0.000746
4.250000 0.000721
4.275000 0.000712
4.300000 0.000686
4.325000 0.000676
4.350000 0.000660
4.375000 0.000637
4.400000 0.000626
4.425000 0.000610
4.450000 0.000599
4.475000 0.000587
4.500000 0.000572
4.525000 0.000562
4.550000 0.000549
4.575000 0.000539
4.600000 0.000528
4.625000 0.000519
4.650000 0.000509
4.675000 0.000500
4.700000 0.000491
4.725000 0.000483
4.750000 0.000476
4.775000 0.000467
4.800000 0.000460
4.825000 0.000452
4.850000 0.000445
4.875000 0.000438
4.900000 0.000432
4.925000 0.000425
4.950000 0.000419
4.975000 0.000413
5.000000 0.000406
5.025000 0.000401
5.050000 0.000395
5.075000 0.000389
5.100000 0.000383
5.125000 0.000378
5.150000 0.000372
5.175000 0.000367
5.200000 0.000361
5.225000 0.000355
5.250000 0.000350
5.275000 0.000344
5.300000 0.000338
5.325000 0.000333
5.350000 0.000327
5.375000 0.000321
5.400000 0.000316
5.425000 0.000310
5.450000 0.000304
5.475000 0.000298
5.500000 0.000292
5.525000 0.000286
5.550000 0.000280
5.575000 0.000274
5.600000 0.000268
5.625000 0.000262
5.650000 0.000255
5.675000 0.000249
5.700000 0.000243
5.725000 0.000237
5.750000 0.000230
5.775000 0.000224
5.800000 0.000218
5.825000 0.000212
5.850000 0.000206
5.875000 0.000200
5.900000 0.000194
5.925000 0.000188
5.950000 0.000182
5.975000 0.000176
6.000000 0.000170
6.025000 0.000165
6.050000 0.000159
6.075000 0.000154
6.100000 0.000149
6.125000 0.000144
6.150000 0.000139
6.175000 0.000134
6.200000 0.000130
6.225000 0.000125
6.250000 0.000121
6.275000 0.000117
6.300000 0.000113
6.325000 0.000110
6.350000 0.000106
6.375000 0.000103
6.400000 0.000099
6.425000 0.000096
6.450000 0.000093
6.475000 0.000090
6.500000 0.000088
6.525000 0.000085
6.550000 0.000082
6.575000 0.000080
6.600000 0.000078
6.625000 0.000076
6.650000 0.000073
6.675000 0.000072
6.700000 0.000070
6.725000 0.000068
6.750000 0.000066
6.775000 0.000064
6.800000 0.000063
6.825000 0.000061
6.850000 0.000060
6.875000 0.000058
6.900000 0.000057
6.925000 0.000056
6.950000 0.000054
6.975000 0.000053
7.000000 0.000052
7.025000 0.000051
7.050000 0.000050
7.075000 0.000049
7.100000 0.000048
7.125000 0.000047
7.150000 0.000046
7.175000 0.000045
7.200000 0.000044
7.225000 0.000043
7.250000 0.000042
7.275000 0.000041
7.300000 0.000041
7.325000 0.000040
7.350000 0.000039
7.375000 0.000038
7.400000 0.000038
7.425000 0.000037
7.450000 0.000036
7.475000 0.000036
7.500000 0.000035
7.525000 0.000034
7.550000 0.000034
7.575000 0.000033
7.600000 0.000033
7.625000 0.000032
7.650000 0.000032
7.675000 0.000031
7.700000 0.000031
7.725000 0.000030
7.750000 0.000030
7.775000 0.000029
7.800000 0.000029
7.825000 0.000028
7.850000 0.000028
7.875000 0.000028
7.900000 0.000027
7.925000 0.000027
7.950000 0.000026
7.975000 0.000026
