# COMMENT
# # cutUV cutIR samples
# 20.000000 0.010000 512# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 2.000000 0.030000 1.000000 4.000000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 1.798964 2.503245 9.683237 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 200 5.000000
# Spectral function (PDE)
# p rho
0.000000 -0.000001
0.025000 0.000098
0.050000 0.000197
0.075000 0.000297
0.100000 0.000399
0.125000 0.000502
0.150000 0.000608
0.175000 0.000717
0.200000 0.000830
0.225000 0.000946
0.250000 0.001068
0.275000 0.001195
0.300000 0.001328
0.325000 0.001468
0.350000 0.001616
0.375000 0.001774
0.400000 0.001942
0.425000 0.002122
0.450000 0.002315
0.475000 0.002524
0.500000 0.002751
0.525000 0.002997
0.550000 0.003266
0.575000 0.003562
0.600000 0.003887
0.625000 0.004248
0.650000 0.004649
0.675000 0.005098
0.700000 0.005603
0.725000 0.006174
0.750000 0.006823
0.775000 0.007567
0.800000 0.008425
0.825000 0.009422
0.850000 0.010591
0.875000 0.011972
0.900000 0.013623
0.925000 0.015617
0.950000 0.018055
0.975000 0.021077
1.000000 0.024877
1.025000 0.029737
1.050000 0.036063
1.075000 0.044460
1.100000 0.055844
1.125000 0.071622
1.150000 0.093990
1.175000 0.126408
1.200000 0.174298
1.225000 0.245858
1.250000 0.352100
1.275000 0.502473
1.300000 0.686836
1.325000 0.841665
1.350000 0.864363
1.375000 0.736942
1.400000 0.553096
1.425000 0.391922
1.450000 0.274444
1.475000 0.194295
1.500000 0.140445
1.525000 0.104013
1.550000 0.078953
1.575000 0.061354
1.600000 0.048719
1.625000 0.039446
1.650000 0.032498
1.675000 0.027186
1.700000 0.023052
1.725000 0.019779
1.750000 0.017150
1.775000 0.015007
1.800000 0.013240
1.825000 0.011767
1.850000 0.010525
1.875000 0.009469
1.900000 0.008564
1.925000 0.007782
1.950000 0.007102
1.975000 0.006507
2.000000 0.005984
2.025000 0.005520
2.050000 0.005108
2.075000 0.004740
2.100000 0.004410
2.125000 0.004112
2.150000 0.003844
2.175000 0.003600
2.200000 0.003379
2.225000 0.003177
2.250000 0.002993
2.275000 0.002825
2.300000 0.002670
2.325000 0.002528
2.350000 0.002397
2.375000 0.002276
2.400000 0.002165
2.425000 0.002061
2.450000 0.001965
2.475000 0.001875
2.500000 0.001791
2.525000 0.001713
2.550000 0.001640
2.575000 0.001571
2.600000 0.001506
2.625000 0.001446
2.650000 0.001389
2.675000 0.001335
2.700000 0.001285
2.725000 0.001237
2.750000 0.001193
2.775000 0.001151
2.800000 0.001111
2.825000 0.001073
2.850000 0.001036
2.875000 0.001002
2.900000 0.000969
2.925000 0.000938
2.950000 0.000909
2.975000 0.000881
3.000000 0.000854
3.025000 0.000828
3.050000 0.000804
3.075000 0.000781
3.100000 0.000759
3.125000 0.000737
3.150000 0.000717
3.175000 0.000698
3.200000 0.000680
3.225000 0.000662
3.250000 0.000645
3.275000 0.000630
3.300000 0.000614
3.325000 0.000600
3.350000 0.000586
3.375000 0.000573
3.400000 0.000561
3.425000 0.000550
3.450000 0.000539
3.475000 0.000528
3.500000 0.000519
3.525000 0.000510
3.550000 0.000502
3.575000 0.000494
3.600000 0.000487
3.625000 0.000481
3.650000 0.000476
3.675000 0.000472
3.700000 0.000471
3.725000 0.000472
3.750000 0.000475
3.775000 0.000480
3.800000 0.000486
3.825000 0.000495
3.850000 0.000505
3.875000 0.000515
3.900000 0.000525
3.925000 0.000534
3.950000 0.000539
3.975000 0.000540
4.000000 0.000533
4.025000 0.000520
4.050000 0.000500
4.075000 0.000475
4.100000 0.000445
4.125000 0.000414
4.150000 0.000383
4.175000 0.000354
4.200000 0.000326
4.225000 0.000302
4.250000 0.000281
4.275000 0.000262
4.300000 0.000246
4.325000 0.000232
4.350000 0.000220
4.375000 0.000209
4.400000 0.000199
4.425000 0.000191
4.450000 0.000183
4.475000 0.000177
4.500000 0.000170
4.525000 0.000165
4.550000 0.000159
4.575000 0.000155
4.600000 0.000150
4.625000 0.000146
4.650000 0.000142
4.675000 0.000138
4.700000 0.000135
4.725000 0.000131
4.750000 0.000128
4.775000 0.000125
4.800000 0.000122
4.825000 0.000119
4.850000 0.000117
4.875000 0.000114
4.900000 0.000112
4.925000 0.000109
4.950000 0.000107
4.975000 0.000105
