# COMMENT
# # cutUV cutIR samples
# 100.000000 0.000100 200# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 0.250000 0.030000 1.000000 4.000000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 2.986507 1.392852 2.142456 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 320 8.000000
# Spectral function (PDE)
# p rho
0.000000 0.000070
0.025000 0.000225
0.050000 0.000380
0.075000 0.000536
0.100000 0.000693
0.125000 0.000852
0.150000 0.001015
0.175000 0.001179
0.200000 0.001348
0.225000 0.001519
0.250000 0.001696
0.275000 0.001878
0.300000 0.002066
0.325000 0.002261
0.350000 0.002464
0.375000 0.002675
0.400000 0.002896
0.425000 0.003129
0.450000 0.003373
0.475000 0.003630
0.500000 0.003902
0.525000 0.004188
0.550000 0.004493
0.575000 0.004819
0.600000 0.005168
0.625000 0.005541
0.650000 0.005942
0.675000 0.006372
0.700000 0.006839
0.725000 0.007343
0.750000 0.007888
0.775000 0.008487
0.800000 0.009129
0.825000 0.009841
0.850000 0.010608
0.875000 0.011450
0.900000 0.012383
0.925000 0.013406
0.950000 0.014536
0.975000 0.015787
1.000000 0.017166
1.025000 0.018696
1.050000 0.020396
1.075000 0.022282
1.100000 0.024381
1.125000 0.026716
1.150000 0.029309
1.175000 0.032216
1.200000 0.035419
1.225000 0.038979
1.250000 0.042892
1.275000 0.047232
1.300000 0.052000
1.325000 0.057205
1.350000 0.062859
1.375000 0.068951
1.400000 0.075448
1.425000 0.082301
1.450000 0.089456
1.475000 0.096809
1.500000 0.104239
1.525000 0.111614
1.550000 0.118769
1.575000 0.125596
1.600000 0.131927
1.625000 0.137605
1.650000 0.142553
1.675000 0.146644
1.700000 0.149844
1.725000 0.152105
1.750000 0.153398
1.775000 0.153730
1.800000 0.153108
1.825000 0.151552
1.850000 0.149091
1.875000 0.145767
1.900000 0.141631
1.925000 0.136728
1.950000 0.131158
1.975000 0.125006
2.000000 0.118392
2.025000 0.111421
2.050000 0.104252
2.075000 0.096985
2.100000 0.089767
2.125000 0.082714
2.150000 0.075903
2.175000 0.069425
2.200000 0.063334
2.225000 0.057652
2.250000 0.052406
2.275000 0.047599
2.300000 0.043209
2.325000 0.039233
2.350000 0.035635
2.375000 0.032396
2.400000 0.029477
2.425000 0.026860
2.450000 0.024503
2.475000 0.022394
2.500000 0.020497
2.525000 0.018793
2.550000 0.017260
2.575000 0.015882
2.600000 0.014641
2.625000 0.013526
2.650000 0.012505
2.675000 0.011588
2.700000 0.010755
2.725000 0.009999
2.750000 0.009312
2.775000 0.008685
2.800000 0.008113
2.825000 0.007590
2.850000 0.007112
2.875000 0.006672
2.900000 0.006270
2.925000 0.005898
2.950000 0.005557
2.975000 0.005241
3.000000 0.004949
3.025000 0.004679
3.050000 0.004429
3.075000 0.004197
3.100000 0.003981
3.125000 0.003780
3.150000 0.003593
3.175000 0.003418
3.200000 0.003255
3.225000 0.003103
3.250000 0.002960
3.275000 0.002826
3.300000 0.002700
3.325000 0.002582
3.350000 0.002471
3.375000 0.002366
3.400000 0.002267
3.425000 0.002175
3.450000 0.002086
3.475000 0.002003
3.500000 0.001925
3.525000 0.001850
3.550000 0.001780
3.575000 0.001713
3.600000 0.001649
3.625000 0.001589
3.650000 0.001531
3.675000 0.001477
3.700000 0.001425
3.725000 0.001376
3.750000 0.001328
3.775000 0.001284
3.800000 0.001241
3.825000 0.001200
3.850000 0.001161
3.875000 0.001124
3.900000 0.001089
3.925000 0.001055
3.950000 0.001023
3.975000 0.000992
4.000000 0.000962
4.025000 0.000934
4.050000 0.000907
4.075000 0.000882
4.100000 0.000857
4.125000 0.000834
4.150000 0.000811
4.175000 0.000790
4.200000 0.000769
4.225000 0.000749
4.250000 0.000731
4.275000 0.000713
4.300000 0.000696
4.325000 0.000679
4.350000 0.000664
4.375000 0.000648
4.400000 0.000634
4.425000 0.000620
4.450000 0.000607
4.475000 0.000595
4.500000 0.000583
4.525000 0.000571
4.550000 0.000560
4.575000 0.000549
4.600000 0.000539
4.625000 0.000529
4.650000 0.000520
4.675000 0.000511
4.700000 0.000502
4.725000 0.000494
4.750000 0.000486
4.775000 0.000478
4.800000 0.000471
4.825000 0.000464
4.850000 0.000457
4.875000 0.000450
4.900000 0.000443
4.925000 0.000437
4.950000 0.000431
4.975000 0.000424
5.000000 0.000418
5.025000 0.000412
5.050000 0.000407
5.075000 0.000401
5.100000 0.000395
5.125000 0.000389
5.150000 0.000383
5.175000 0.000378
5.200000 0.000372
5.225000 0.000366
5.250000 0.000360
5.275000 0.000355
5.300000 0.000349
5.325000 0.000343
5.350000 0.000337
5.375000 0.000331
5.400000 0.000325
5.425000 0.000319
5.450000 0.000312
5.475000 0.000306
5.500000 0.000300
5.525000 0.000293
5.550000 0.000287
5.575000 0.000281
5.600000 0.000274
5.625000 0.000268
5.650000 0.000261
5.675000 0.000254
5.700000 0.000248
5.725000 0.000241
5.750000 0.000235
5.775000 0.000228
5.800000 0.000222
5.825000 0.000216
5.850000 0.000209
5.875000 0.000203
5.900000 0.000197
5.925000 0.000191
5.950000 0.000185
5.975000 0.000179
6.000000 0.000173
6.025000 0.000168
6.050000 0.000162
6.075000 0.000157
6.100000 0.000151
6.125000 0.000146
6.150000 0.000141
6.175000 0.000137
6.200000 0.000132
6.225000 0.000128
6.250000 0.000124
6.275000 0.000119
6.300000 0.000115
6.325000 0.000112
6.350000 0.000108
6.375000 0.000105
6.400000 0.000101
6.425000 0.000098
6.450000 0.000095
6.475000 0.000092
6.500000 0.000090
6.525000 0.000087
6.550000 0.000084
6.575000 0.000082
6.600000 0.000080
6.625000 0.000077
6.650000 0.000075
6.675000 0.000073
6.700000 0.000071
6.725000 0.000070
6.750000 0.000068
6.775000 0.000066
6.800000 0.000064
6.825000 0.000063
6.850000 0.000061
6.875000 0.000060
6.900000 0.000058
6.925000 0.000057
6.950000 0.000056
6.975000 0.000055
7.000000 0.000053
7.025000 0.000052
7.050000 0.000051
7.075000 0.000050
7.100000 0.000049
7.125000 0.000048
7.150000 0.000047
7.175000 0.000046
7.200000 0.000045
7.225000 0.000044
7.250000 0.000043
7.275000 0.000042
7.300000 0.000042
7.325000 0.000041
7.350000 0.000040
7.375000 0.000039
7.400000 0.000038
7.425000 0.000038
7.450000 0.000037
7.475000 0.000036
7.500000 0.000036
7.525000 0.000035
7.550000 0.000035
7.575000 0.000034
7.600000 0.000033
7.625000 0.000033
7.650000 0.000032
7.675000 0.000032
7.700000 0.000031
7.725000 0.000031
7.750000 0.000030
7.775000 0.000030
7.800000 0.000029
7.825000 0.000029
7.850000 0.000028
7.875000 0.000028
7.900000 0.000028
7.925000 0.000027
7.950000 0.000027
7.975000 0.000026
