# COMMENT
# # cutUV cutIR samples
# 100.000000 0.000100 500# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 2.000000 0.030000 1.000000 4.000000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 1.546966 2.135103 9.191847 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 200 5.000000
# Spectral function (PDE)
# p rho
0.000000 0.000078
0.025000 0.000248
0.050000 0.000418
0.075000 0.000589
0.100000 0.000760
0.125000 0.000935
0.150000 0.001113
0.175000 0.001295
0.200000 0.001483
0.225000 0.001676
0.250000 0.001878
0.275000 0.002094
0.300000 0.002319
0.325000 0.002562
0.350000 0.002823
0.375000 0.003108
0.400000 0.003418
0.425000 0.003759
0.450000 0.004133
0.475000 0.004548
0.500000 0.005008
0.525000 0.005522
0.550000 0.006100
0.575000 0.006751
0.600000 0.007501
0.625000 0.008339
0.650000 0.009314
0.675000 0.010453
0.700000 0.011785
0.725000 0.013365
0.750000 0.015260
0.775000 0.017551
0.800000 0.020359
0.825000 0.023834
0.850000 0.028206
0.875000 0.033761
0.900000 0.040898
0.925000 0.050239
0.950000 0.062495
0.975000 0.078731
1.000000 0.100329
1.025000 0.128868
1.050000 0.165935
1.075000 0.212580
1.100000 0.268223
1.125000 0.330074
1.150000 0.391887
1.175000 0.446767
1.200000 0.489358
1.225000 0.516820
1.250000 0.528965
1.275000 0.525450
1.300000 0.505263
1.325000 0.467456
1.350000 0.413427
1.375000 0.348925
1.400000 0.282576
1.425000 0.222083
1.450000 0.171899
1.475000 0.132684
1.500000 0.102939
1.525000 0.080737
1.550000 0.064191
1.575000 0.051756
1.600000 0.042298
1.625000 0.035017
1.650000 0.029333
1.675000 0.024835
1.700000 0.021232
1.725000 0.018323
1.750000 0.015941
1.775000 0.013982
1.800000 0.012349
1.825000 0.010978
1.850000 0.009818
1.875000 0.008830
1.900000 0.007981
1.925000 0.007248
1.950000 0.006608
1.975000 0.006050
2.000000 0.005556
2.025000 0.005122
2.050000 0.004735
2.075000 0.004390
2.100000 0.004081
2.125000 0.003804
2.150000 0.003552
2.175000 0.003326
2.200000 0.003120
2.225000 0.002932
2.250000 0.002761
2.275000 0.002605
2.300000 0.002461
2.325000 0.002331
2.350000 0.002209
2.375000 0.002098
2.400000 0.001995
2.425000 0.001900
2.450000 0.001812
2.475000 0.001725
2.500000 0.001646
2.525000 0.001566
2.550000 0.001496
2.575000 0.001420
2.600000 0.001353
2.625000 0.001288
2.650000 0.001227
2.675000 0.001172
2.700000 0.001116
2.725000 0.001069
2.750000 0.001024
2.775000 0.000982
2.800000 0.000945
2.825000 0.000908
2.850000 0.000874
2.875000 0.000844
2.900000 0.000813
2.925000 0.000786
2.950000 0.000760
2.975000 0.000736
3.000000 0.000713
3.025000 0.000691
3.050000 0.000671
3.075000 0.000651
3.100000 0.000633
3.125000 0.000616
3.150000 0.000599
3.175000 0.000583
3.200000 0.000569
3.225000 0.000555
3.250000 0.000543
3.275000 0.000531
3.300000 0.000521
3.325000 0.000512
3.350000 0.000504
3.375000 0.000497
3.400000 0.000491
3.425000 0.000486
3.450000 0.000481
3.475000 0.000478
3.500000 0.000475
3.525000 0.000473
3.550000 0.000471
3.575000 0.000469
3.600000 0.000467
3.625000 0.000464
3.650000 0.000461
3.675000 0.000456
3.700000 0.000451
3.725000 0.000444
3.750000 0.000435
3.775000 0.000426
3.800000 0.000415
3.825000 0.000403
3.850000 0.000390
3.875000 0.000376
3.900000 0.000361
3.925000 0.000346
3.950000 0.000331
3.975000 0.000316
4.000000 0.000301
4.025000 0.000286
4.050000 0.000273
4.075000 0.000260
4.100000 0.000248
4.125000 0.000237
4.150000 0.000226
4.175000 0.000217
4.200000 0.000208
4.225000 0.000200
4.250000 0.000193
4.275000 0.000186
4.300000 0.000180
4.325000 0.000175
4.350000 0.000169
4.375000 0.000164
4.400000 0.000160
4.425000 0.000156
4.450000 0.000151
4.475000 0.000148
4.500000 0.000144
4.525000 0.000140
4.550000 0.000137
4.575000 0.000134
4.600000 0.000131
4.625000 0.000128
4.650000 0.000125
4.675000 0.000122
4.700000 0.000119
4.725000 0.000117
4.750000 0.000114
4.775000 0.000112
4.800000 0.000110
4.825000 0.000107
4.850000 0.000105
4.875000 0.000103
4.900000 0.000101
4.925000 0.000099
4.950000 0.000097
4.975000 0.000095
