# COMMENT
# # cutUV cutIR samples
# 100.000000 0.000100 500# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 0.250000 0.030000 1.000000 4.000000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 3.068404 1.476832 2.323321 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 320 8.000000
# Spectral function (PDE)
# p rho
0.000000 0.000059
0.025000 0.000249
0.050000 0.000438
0.075000 0.000629
0.100000 0.000821
0.125000 0.001016
0.150000 0.001212
0.175000 0.001412
0.200000 0.001615
0.225000 0.001822
0.250000 0.002033
0.275000 0.002250
0.300000 0.002472
0.325000 0.002701
0.350000 0.002937
0.375000 0.003180
0.400000 0.003432
0.425000 0.003694
0.450000 0.003966
0.475000 0.004250
0.500000 0.004546
0.525000 0.004855
0.550000 0.005180
0.575000 0.005520
0.600000 0.005879
0.625000 0.006256
0.650000 0.006655
0.675000 0.007077
0.700000 0.007524
0.725000 0.007999
0.750000 0.008504
0.775000 0.009042
0.800000 0.009616
0.825000 0.010231
0.850000 0.010889
0.875000 0.011596
0.900000 0.012356
0.925000 0.013175
0.950000 0.014059
0.975000 0.015014
1.000000 0.016050
1.025000 0.017173
1.050000 0.018395
1.075000 0.019725
1.100000 0.021177
1.125000 0.022763
1.150000 0.024500
1.175000 0.026405
1.200000 0.028498
1.225000 0.030800
1.250000 0.033336
1.275000 0.036133
1.300000 0.039222
1.325000 0.042635
1.350000 0.046410
1.375000 0.050584
1.400000 0.055201
1.425000 0.060302
1.450000 0.065930
1.475000 0.072125
1.500000 0.078921
1.525000 0.086339
1.550000 0.094383
1.575000 0.103029
1.600000 0.112212
1.625000 0.121815
1.650000 0.131655
1.675000 0.141472
1.700000 0.150925
1.725000 0.159599
1.750000 0.167033
1.775000 0.172760
1.800000 0.176368
1.825000 0.177565
1.850000 0.176230
1.875000 0.172439
1.900000 0.166448
1.925000 0.158658
1.950000 0.149542
1.975000 0.139587
2.000000 0.129241
2.025000 0.118876
2.050000 0.108781
2.075000 0.099160
2.100000 0.090142
2.125000 0.081796
2.150000 0.074147
2.175000 0.067187
2.200000 0.060889
2.225000 0.055212
2.250000 0.050108
2.275000 0.045527
2.300000 0.041419
2.325000 0.037737
2.350000 0.034436
2.375000 0.031475
2.400000 0.028818
2.425000 0.026431
2.450000 0.024283
2.475000 0.022348
2.500000 0.020603
2.525000 0.019026
2.550000 0.017599
2.575000 0.016306
2.600000 0.015132
2.625000 0.014065
2.650000 0.013092
2.675000 0.012205
2.700000 0.011395
2.725000 0.010653
2.750000 0.009973
2.775000 0.009349
2.800000 0.008775
2.825000 0.008246
2.850000 0.007758
2.875000 0.007308
2.900000 0.006891
2.925000 0.006505
2.950000 0.006147
2.975000 0.005815
3.000000 0.005506
3.025000 0.005218
3.050000 0.004950
3.075000 0.004700
3.100000 0.004466
3.125000 0.004248
3.150000 0.004043
3.175000 0.003851
3.200000 0.003671
3.225000 0.003502
3.250000 0.003343
3.275000 0.003193
3.300000 0.003052
3.325000 0.002919
3.350000 0.002794
3.375000 0.002675
3.400000 0.002563
3.425000 0.002458
3.450000 0.002357
3.475000 0.002263
3.500000 0.002173
3.525000 0.002087
3.550000 0.002006
3.575000 0.001929
3.600000 0.001856
3.625000 0.001787
3.650000 0.001721
3.675000 0.001658
3.700000 0.001598
3.725000 0.001541
3.750000 0.001486
3.775000 0.001434
3.800000 0.001384
3.825000 0.001337
3.850000 0.001291
3.875000 0.001248
3.900000 0.001206
3.925000 0.001167
3.950000 0.001128
3.975000 0.001092
4.000000 0.001057
4.025000 0.001023
4.050000 0.000991
4.075000 0.000960
4.100000 0.000931
4.125000 0.000902
4.150000 0.000875
4.175000 0.000849
4.200000 0.000823
4.225000 0.000799
4.250000 0.000776
4.275000 0.000753
4.300000 0.000732
4.325000 0.000711
4.350000 0.000691
4.375000 0.000672
4.400000 0.000653
4.425000 0.000635
4.450000 0.000618
4.475000 0.000601
4.500000 0.000585
4.525000 0.000569
4.550000 0.000554
4.575000 0.000540
4.600000 0.000526
4.625000 0.000512
4.650000 0.000499
4.675000 0.000487
4.700000 0.000475
4.725000 0.000463
4.750000 0.000451
4.775000 0.000440
4.800000 0.000430
4.825000 0.000419
4.850000 0.000409
4.875000 0.000399
4.900000 0.000390
4.925000 0.000381
4.950000 0.000372
4.975000 0.000363
5.000000 0.000354
5.025000 0.000346
5.050000 0.000338
5.075000 0.000330
5.100000 0.000322
5.125000 0.000314
5.150000 0.000307
5.175000 0.000300
5.200000 0.000292
5.225000 0.000285
5.250000 0.000278
5.275000 0.000271
5.300000 0.000264
5.325000 0.000258
5.350000 0.000251
5.375000 0.000244
5.400000 0.000238
5.425000 0.000232
5.450000 0.000225
5.475000 0.000219
5.500000 0.000213
5.525000 0.000207
5.550000 0.000201
5.575000 0.000195
5.600000 0.000189
5.625000 0.000183
5.650000 0.000178
5.675000 0.000172
5.700000 0.000167
5.725000 0.000162
5.750000 0.000157
5.775000 0.000152
5.800000 0.000147
5.825000 0.000143
5.850000 0.000138
5.875000 0.000134
5.900000 0.000130
5.925000 0.000126
5.950000 0.000122
5.975000 0.000118
6.000000 0.000114
6.025000 0.000111
6.050000 0.000108
6.075000 0.000104
6.100000 0.000101
6.125000 0.000098
6.150000 0.000096
6.175000 0.000093
6.200000 0.000090
6.225000 0.000088
6.250000 0.000085
6.275000 0.000083
6.300000 0.000081
6.325000 0.000079
6.350000 0.000077
6.375000 0.000075
6.400000 0.000073
6.425000 0.000071
6.450000 0.000069
6.475000 0.000068
6.500000 0.000066
6.525000 0.000064
6.550000 0.000063
6.575000 0.000062
6.600000 0.000060
6.625000 0.000059
6.650000 0.000058
6.675000 0.000056
6.700000 0.000055
6.725000 0.000054
6.750000 0.000053
6.775000 0.000052
6.800000 0.000051
6.825000 0.000050
6.850000 0.000049
6.875000 0.000048
6.900000 0.000047
6.925000 0.000046
6.950000 0.000045
6.975000 0.000044
7.000000 0.000043
7.025000 0.000043
7.050000 0.000042
7.075000 0.000041
7.100000 0.000040
7.125000 0.000040
7.150000 0.000039
7.175000 0.000038
7.200000 0.000038
7.225000 0.000037
7.250000 0.000036
7.275000 0.000036
7.300000 0.000035
7.325000 0.000034
7.350000 0.000034
7.375000 0.000033
7.400000 0.000033
7.425000 0.000032
7.450000 0.000032
7.475000 0.000031
7.500000 0.000031
7.525000 0.000030
7.550000 0.000030
7.575000 0.000029
7.600000 0.000029
7.625000 0.000029
7.650000 0.000028
7.675000 0.000028
7.700000 0.000027
7.725000 0.000027
7.750000 0.000027
7.775000 0.000026
7.800000 0.000026
7.825000 0.000025
7.850000 0.000025
7.875000 0.000025
7.900000 0.000024
7.925000 0.000024
7.950000 0.000024
7.975000 0.000023
