# COMMENT
# # cutUV cutIR samples
# 20.000000 0.010000 512# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 2.000000 0.030000 1.000000 4.000000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 1.779473 2.355804 8.930463 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 200 5.000000
# Spectral function (PDE)
# p rho
0.000000 0.000005
0.025000 0.000090
0.050000 0.000176
0.075000 0.000263
0.100000 0.000350
0.125000 0.000439
0.150000 0.000531
0.175000 0.000624
0.200000 0.000721
0.225000 0.000821
0.250000 0.000925
0.275000 0.001033
0.300000 0.001147
0.325000 0.001267
0.350000 0.001394
0.375000 0.001528
0.400000 0.001671
0.425000 0.001824
0.450000 0.001989
0.475000 0.002166
0.500000 0.002359
0.525000 0.002568
0.550000 0.002798
0.575000 0.003050
0.600000 0.003329
0.625000 0.003639
0.650000 0.003984
0.675000 0.004372
0.700000 0.004811
0.725000 0.005309
0.750000 0.005880
0.775000 0.006539
0.800000 0.007305
0.825000 0.008205
0.850000 0.009272
0.875000 0.010553
0.900000 0.012110
0.925000 0.014029
0.950000 0.016435
0.975000 0.019508
1.000000 0.023516
1.025000 0.028870
1.050000 0.036214
1.075000 0.046578
1.100000 0.061631
1.125000 0.084088
1.150000 0.118237
1.175000 0.170309
1.200000 0.247464
1.225000 0.352865
1.250000 0.476173
1.275000 0.590394
1.300000 0.669247
1.325000 0.705307
1.350000 0.701486
1.375000 0.654467
1.400000 0.558680
1.425000 0.429001
1.450000 0.302048
1.475000 0.204483
1.500000 0.139237
1.525000 0.097847
1.550000 0.071530
1.575000 0.054268
1.600000 0.042464
1.625000 0.034054
1.650000 0.027850
1.675000 0.023147
1.700000 0.019506
1.725000 0.016638
1.750000 0.014348
1.775000 0.012493
1.800000 0.010974
1.825000 0.009716
1.850000 0.008662
1.875000 0.007772
1.900000 0.007012
1.925000 0.006359
1.950000 0.005793
1.975000 0.005300
2.000000 0.004867
2.025000 0.004486
2.050000 0.004148
2.075000 0.003847
2.100000 0.003577
2.125000 0.003335
2.150000 0.003116
2.175000 0.002919
2.200000 0.002739
2.225000 0.002576
2.250000 0.002427
2.275000 0.002291
2.300000 0.002167
2.325000 0.002053
2.350000 0.001948
2.375000 0.001851
2.400000 0.001761
2.425000 0.001678
2.450000 0.001600
2.475000 0.001528
2.500000 0.001460
2.525000 0.001396
2.550000 0.001336
2.575000 0.001280
2.600000 0.001226
2.625000 0.001176
2.650000 0.001128
2.675000 0.001084
2.700000 0.001042
2.725000 0.001002
2.750000 0.000965
2.775000 0.000930
2.800000 0.000898
2.825000 0.000866
2.850000 0.000837
2.875000 0.000809
2.900000 0.000782
2.925000 0.000757
2.950000 0.000732
2.975000 0.000709
3.000000 0.000687
3.025000 0.000666
3.050000 0.000646
3.075000 0.000627
3.100000 0.000609
3.125000 0.000592
3.150000 0.000576
3.175000 0.000560
3.200000 0.000545
3.225000 0.000531
3.250000 0.000518
3.275000 0.000506
3.300000 0.000494
3.325000 0.000482
3.350000 0.000472
3.375000 0.000462
3.400000 0.000453
3.425000 0.000445
3.450000 0.000437
3.475000 0.000430
3.500000 0.000424
3.525000 0.000419
3.550000 0.000414
3.575000 0.000411
3.600000 0.000408
3.625000 0.000408
3.650000 0.000409
3.675000 0.000414
3.700000 0.000421
3.725000 0.000433
3.750000 0.000448
3.775000 0.000467
3.800000 0.000490
3.825000 0.000515
3.850000 0.000543
3.875000 0.000572
3.900000 0.000599
3.925000 0.000624
3.950000 0.000645
3.975000 0.000658
4.000000 0.000662
4.025000 0.000657
4.050000 0.000642
4.075000 0.000618
4.100000 0.000587
4.125000 0.000550
4.150000 0.000511
4.175000 0.000471
4.200000 0.000432
4.225000 0.000397
4.250000 0.000364
4.275000 0.000336
4.300000 0.000311
4.325000 0.000290
4.350000 0.000272
4.375000 0.000256
4.400000 0.000242
4.425000 0.000230
4.450000 0.000219
4.475000 0.000210
4.500000 0.000201
4.525000 0.000193
4.550000 0.000186
4.575000 0.000180
4.600000 0.000173
4.625000 0.000168
4.650000 0.000162
4.675000 0.000158
4.700000 0.000153
4.725000 0.000149
4.750000 0.000145
4.775000 0.000141
4.800000 0.000137
4.825000 0.000134
4.850000 0.000130
4.875000 0.000127
4.900000 0.000124
4.925000 0.000121
4.950000 0.000117
4.975000 0.000114
