# COMMENT
# # cutUV cutIR samples
# 100.000000 0.000100 500# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 0.500000 0.030000 1.000000 2.000000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 1.901615 0.941086 1.494488 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 320 8.000000
# Spectral function (PDE)
# p rho
0.000000 0.000078
0.025000 0.000226
0.050000 0.000375
0.075000 0.000526
0.100000 0.000678
0.125000 0.000833
0.150000 0.000992
0.175000 0.001156
0.200000 0.001324
0.225000 0.001500
0.250000 0.001683
0.275000 0.001875
0.300000 0.002077
0.325000 0.002291
0.350000 0.002518
0.375000 0.002761
0.400000 0.003021
0.425000 0.003302
0.450000 0.003605
0.475000 0.003934
0.500000 0.004294
0.525000 0.004688
0.550000 0.005123
0.575000 0.005604
0.600000 0.006141
0.625000 0.006741
0.650000 0.007417
0.675000 0.008181
0.700000 0.009053
0.725000 0.010051
0.750000 0.011203
0.775000 0.012541
0.800000 0.014106
0.825000 0.015949
0.850000 0.018136
0.875000 0.020750
0.900000 0.023898
0.925000 0.027714
0.950000 0.032371
0.975000 0.038089
1.000000 0.045144
1.025000 0.053873
1.050000 0.064683
1.075000 0.078036
1.100000 0.094416
1.125000 0.114255
1.150000 0.137804
1.175000 0.164953
1.200000 0.195040
1.225000 0.226748
1.250000 0.258195
1.275000 0.287280
1.300000 0.312169
1.325000 0.331672
1.350000 0.345315
1.375000 0.353113
1.400000 0.355211
1.425000 0.351591
1.450000 0.341993
1.475000 0.326088
1.500000 0.303870
1.525000 0.276089
1.550000 0.244423
1.575000 0.211219
1.600000 0.178883
1.625000 0.149285
1.650000 0.123481
1.675000 0.101770
1.700000 0.083930
1.725000 0.069476
1.750000 0.057841
1.775000 0.048487
1.800000 0.040948
1.825000 0.034840
1.850000 0.029862
1.875000 0.025776
1.900000 0.022399
1.925000 0.019588
1.950000 0.017232
1.975000 0.015245
2.000000 0.013559
2.025000 0.012121
2.050000 0.010886
2.075000 0.009821
2.100000 0.008898
2.125000 0.008094
2.150000 0.007389
2.175000 0.006770
2.200000 0.006222
2.225000 0.005737
2.250000 0.005304
2.275000 0.004918
2.300000 0.004571
2.325000 0.004258
2.350000 0.003976
2.375000 0.003719
2.400000 0.003486
2.425000 0.003274
2.450000 0.003080
2.475000 0.002901
2.500000 0.002738
2.525000 0.002587
2.550000 0.002447
2.575000 0.002318
2.600000 0.002199
2.625000 0.002087
2.650000 0.001984
2.675000 0.001888
2.700000 0.001798
2.725000 0.001714
2.750000 0.001635
2.775000 0.001562
2.800000 0.001493
2.825000 0.001428
2.850000 0.001367
2.875000 0.001310
2.900000 0.001257
2.925000 0.001206
2.950000 0.001159
2.975000 0.001114
3.000000 0.001072
3.025000 0.001033
3.050000 0.000995
3.075000 0.000960
3.100000 0.000926
3.125000 0.000894
3.150000 0.000864
3.175000 0.000836
3.200000 0.000809
3.225000 0.000783
3.250000 0.000759
3.275000 0.000736
3.300000 0.000714
3.325000 0.000693
3.350000 0.000674
3.375000 0.000655
3.400000 0.000638
3.425000 0.000621
3.450000 0.000606
3.475000 0.000592
3.500000 0.000578
3.525000 0.000566
3.550000 0.000554
3.575000 0.000543
3.600000 0.000533
3.625000 0.000524
3.650000 0.000516
3.675000 0.000509
3.700000 0.000502
3.725000 0.000496
3.750000 0.000491
3.775000 0.000486
3.800000 0.000483
3.825000 0.000479
3.850000 0.000476
3.875000 0.000474
3.900000 0.000471
3.925000 0.000469
3.950000 0.000467
3.975000 0.000465
4.000000 0.000463
4.025000 0.000460
4.050000 0.000457
4.075000 0.000453
4.100000 0.000449
4.125000 0.000444
4.150000 0.000438
4.175000 0.000431
4.200000 0.000424
4.225000 0.000415
4.250000 0.000406
4.275000 0.000396
4.300000 0.000385
4.325000 0.000373
4.350000 0.000361
4.375000 0.000348
4.400000 0.000336
4.425000 0.000323
4.450000 0.000309
4.475000 0.000296
4.500000 0.000284
4.525000 0.000271
4.550000 0.000259
4.575000 0.000247
4.600000 0.000236
4.625000 0.000226
4.650000 0.000216
4.675000 0.000206
4.700000 0.000198
4.725000 0.000189
4.750000 0.000182
4.775000 0.000175
4.800000 0.000168
4.825000 0.000162
4.850000 0.000156
4.875000 0.000151
4.900000 0.000146
4.925000 0.000141
4.950000 0.000137
4.975000 0.000133
5.000000 0.000129
5.025000 0.000125
5.050000 0.000122
5.075000 0.000118
5.100000 0.000115
5.125000 0.000112
5.150000 0.000109
5.175000 0.000107
5.200000 0.000104
5.225000 0.000102
5.250000 0.000099
5.275000 0.000097
5.300000 0.000095
5.325000 0.000092
5.350000 0.000090
5.375000 0.000088
5.400000 0.000086
5.425000 0.000085
5.450000 0.000083
5.475000 0.000081
5.500000 0.000079
5.525000 0.000078
5.550000 0.000076
5.575000 0.000075
5.600000 0.000073
5.625000 0.000072
5.650000 0.000070
5.675000 0.000069
5.700000 0.000068
5.725000 0.000067
5.750000 0.000065
5.775000 0.000064
5.800000 0.000063
5.825000 0.000062
5.850000 0.000061
5.875000 0.000060
5.900000 0.000059
5.925000 0.000058
5.950000 0.000057
5.975000 0.000056
6.000000 0.000055
6.025000 0.000054
6.050000 0.000053
6.075000 0.000052
6.100000 0.000051
6.125000 0.000050
6.150000 0.000050
6.175000 0.000049
6.200000 0.000048
6.225000 0.000047
6.250000 0.000047
6.275000 0.000046
6.300000 0.000045
6.325000 0.000045
6.350000 0.000044
6.375000 0.000043
6.400000 0.000043
6.425000 0.000042
6.450000 0.000041
6.475000 0.000041
6.500000 0.000040
6.525000 0.000040
6.550000 0.000039
6.575000 0.000039
6.600000 0.000038
6.625000 0.000038
6.650000 0.000037
6.675000 0.000037
6.700000 0.000036
6.725000 0.000036
6.750000 0.000035
6.775000 0.000035
6.800000 0.000034
6.825000 0.000034
6.850000 0.000034
6.875000 0.000033
6.900000 0.000033
6.925000 0.000032
6.950000 0.000032
6.975000 0.000031
7.000000 0.000031
7.025000 0.000031
7.050000 0.000030
7.075000 0.000030
7.100000 0.000030
7.125000 0.000029
7.150000 0.000029
7.175000 0.000029
7.200000 0.000028
7.225000 0.000028
7.250000 0.000028
7.275000 0.000027
7.300000 0.000027
7.325000 0.000027
7.350000 0.000026
7.375000 0.000026
7.400000 0.000026
7.425000 0.000025
7.450000 0.000025
7.475000 0.000025
7.500000 0.000025
7.525000 0.000024
7.550000 0.000024
7.575000 0.000024
7.600000 0.000024
7.625000 0.000023
7.650000 0.000023
7.675000 0.000023
7.700000 0.000023
7.725000 0.000022
7.750000 0.000022
7.775000 0.000022
7.800000 0.000022
7.825000 0.000021
7.850000 0.000021
7.875000 0.000021
7.900000 0.000021
7.925000 0.000021
7.950000 0.000020
7.975000 0.000020
