# COMMENT
# # cutUV cutIR samples
# 100.000000 0.000100 500# UV PARAMS
# beta gam massSq(UV) lam(UV)
# 2.000000 0.030000 1.000000 0.250000
# IR PARAMS
# massSq(IR) lam(IR) mu6(UR) mu8(UR) mu10(UR)
# 1.074370 0.216592 -0.297431 0.000000 0.000000
# LATTICE PARAMS
# pos_count extent
# 200 5.000000
# Spectral function (PDE)
# p rho
0.000000 0.000003
0.025000 0.000211
0.050000 0.000420
0.075000 0.000632
0.100000 0.000849
0.125000 0.001072
0.150000 0.001302
0.175000 0.001543
0.200000 0.001795
0.225000 0.002061
0.250000 0.002343
0.275000 0.002646
0.300000 0.002971
0.325000 0.003323
0.350000 0.003706
0.375000 0.004127
0.400000 0.004590
0.425000 0.005105
0.450000 0.005680
0.475000 0.006327
0.500000 0.007060
0.525000 0.007897
0.550000 0.008860
0.575000 0.009978
0.600000 0.011288
0.625000 0.012837
0.650000 0.014691
0.675000 0.016937
0.700000 0.019697
0.725000 0.023141
0.750000 0.027521
0.775000 0.033209
0.800000 0.040785
0.825000 0.051185
0.850000 0.066000
0.875000 0.088093
0.900000 0.123004
0.925000 0.182438
0.950000 0.293857
0.975000 0.529360
1.000000 1.084180
1.025000 2.130024
1.050000 2.009182
1.075000 0.993232
1.100000 0.492974
1.125000 0.278201
1.150000 0.174755
1.175000 0.118779
1.200000 0.085570
1.225000 0.064417
1.250000 0.050170
1.275000 0.040141
1.300000 0.032822
1.325000 0.027321
1.350000 0.023083
1.375000 0.019751
1.400000 0.017083
1.425000 0.014915
1.450000 0.013129
1.475000 0.011640
1.500000 0.010387
1.525000 0.009322
1.550000 0.008410
1.575000 0.007622
1.600000 0.006938
1.625000 0.006340
1.650000 0.005814
1.675000 0.005348
1.700000 0.004936
1.725000 0.004567
1.750000 0.004237
1.775000 0.003941
1.800000 0.003673
1.825000 0.003431
1.850000 0.003211
1.875000 0.003011
1.900000 0.002828
1.925000 0.002661
1.950000 0.002508
1.975000 0.002366
2.000000 0.002236
2.025000 0.002116
2.050000 0.002005
2.075000 0.001902
2.100000 0.001806
2.125000 0.001717
2.150000 0.001635
2.175000 0.001557
2.200000 0.001485
2.225000 0.001418
2.250000 0.001355
2.275000 0.001295
2.300000 0.001239
2.325000 0.001187
2.350000 0.001138
2.375000 0.001091
2.400000 0.001047
2.425000 0.001006
2.450000 0.000967
2.475000 0.000930
2.500000 0.000894
2.525000 0.000861
2.550000 0.000830
2.575000 0.000800
2.600000 0.000771
2.625000 0.000744
2.650000 0.000719
2.675000 0.000694
2.700000 0.000671
2.725000 0.000649
2.750000 0.000628
2.775000 0.000608
2.800000 0.000589
2.825000 0.000571
2.850000 0.000554
2.875000 0.000538
2.900000 0.000523
2.925000 0.000508
2.950000 0.000495
2.975000 0.000483
3.000000 0.000473
3.025000 0.000464
3.050000 0.000456
3.075000 0.000449
3.100000 0.000440
3.125000 0.000427
3.150000 0.000412
3.175000 0.000396
3.200000 0.000380
3.225000 0.000367
3.250000 0.000355
3.275000 0.000344
3.300000 0.000333
3.325000 0.000324
3.350000 0.000315
3.375000 0.000306
3.400000 0.000298
3.425000 0.000291
3.450000 0.000283
3.475000 0.000276
3.500000 0.000269
3.525000 0.000263
3.550000 0.000257
3.575000 0.000250
3.600000 0.000245
3.625000 0.000239
3.650000 0.000233
3.675000 0.000228
3.700000 0.000223
3.725000 0.000218
3.750000 0.000213
3.775000 0.000208
3.800000 0.000204
3.825000 0.000199
3.850000 0.000195
3.875000 0.000191
3.900000 0.000187
3.925000 0.000183
3.950000 0.000179
3.975000 0.000175
4.000000 0.000172
4.025000 0.000168
4.050000 0.000165
4.075000 0.000162
4.100000 0.000158
4.125000 0.000155
4.150000 0.000152
4.175000 0.000149
4.200000 0.000146
4.225000 0.000144
4.250000 0.000141
4.275000 0.000138
4.300000 0.000136
4.325000 0.000133
4.350000 0.000131
4.375000 0.000128
4.400000 0.000126
4.425000 0.000123
4.450000 0.000121
4.475000 0.000119
4.500000 0.000117
4.525000 0.000115
4.550000 0.000113
4.575000 0.000111
4.600000 0.000109
4.625000 0.000107
4.650000 0.000105
4.675000 0.000103
4.700000 0.000102
4.725000 0.000100
4.750000 0.000098
4.775000 0.000097
4.800000 0.000095
4.825000 0.000093
4.850000 0.000092
4.875000 0.000090
4.900000 0.000089
4.925000 0.000088
4.950000 0.000086
4.975000 0.000085
